Name,Units,Short,Long
LoadU2n,V,Load Phase 2 to N Voltage,
LoadU31,V,Load Phase 3 to 1 Voltage,
LoadU3n,V,Load Phase 3 to N Voltage,
LoadUn,V,Load Average Phase to Neutral Voltage,
Pcc1E,kWh,Pcc1 Energy,
Pcc1ExpE,kWh,Pcc1 Export Energy,
Pcc1ExpP,kW,Pcc1 Export Active Power,
Pcc1ExpQh,kvarh,Pcc1 Export Reactive Power Hours,
Pcc1ExpS,kVA,Pcc1 Export Apparent Power,
Pcc1ExpSh,kVAh,Pcc1 Export Apparent Power Hours,
Pcc1I2,A,Pcc1 Phase 2 Current,
Pcc1I3,A,Pcc1 Phase 3 Current,
Pcc1ImpE,kWh,Pcc1 Import Energy,
Pcc1ImpP,kW,Pcc1 Import Active Power,
Pcc1ImpQh,kvarh,Pcc1 Import Reactive Power Hours,
Pcc1ImpS,kVA,Pcc1 Import Apparent Power,
Pcc1ImpSh,kVAh,Pcc1 Import Apparent Power Hours,
Pcc1P,kW,Pcc1 Active Power,
Pcc1Pf,pf,Pcc1 Power Factor,
Pcc1Qh,kvarh,Pcc1 Reactive Power Hours,
Pcc1S,kVA,Pcc1 Apparent Power,
Pcc1Sh,kVAh,Pcc1 Apparent Power Hours,
Pcc1U,V,Pcc1 Average Phase to Phase Voltage,
Pcc1U12,V,Pcc1 Phase 1 to 2 Voltage,
Pcc1U1n,V,Pcc1 Phase 1 to N Voltage,
Pcc1U23,V,Pcc1 Phase 2 to 3 Voltage,
Pcc1U2n,V,Pcc1 Phase 2 to N Voltage,
Pcc1U31,V,Pcc1 Phase 3 to 1 Voltage,
Pcc1U3n,V,Pcc1 Phase 3 to N Voltage,
Pcc1Un,V,Pcc1 Average Phase to Neutral Voltage,
Pcc2E,kWh,Pcc2 Energy,
Pcc2ExpE,kWh,Pcc2 Export Energy,
Pcc2ExpP,kW,Pcc2 Export Active Power,
Pcc2ExpQh,kvarh,Pcc2 Export Reactive Power Hours,
Pcc2ExpS,kVA,Pcc2 Export Apparent Power,
Pcc2ExpSh,kVAh,Pcc2 Export Apparent Power Hours,
Pcc2I2,A,Pcc2 Phase 2 Current,
Pcc2I3,A,Pcc2 Phase 3 Current,
Pcc2ImpE,kWh,Pcc2 Import Energy,
Pcc2ImpP,kW,Pcc2 Import Active Power,
Pcc2ImpQh,kvarh,Pcc2 Import Reactive Power Hours,
Pcc2ImpS,kVA,Pcc2 Import Apparent Power,
Pcc2ImpSh,kVAh,Pcc2 Import Apparent Power Hours,
Pcc2P,kW,Pcc2 Active Power,
Pcc2Pf,pf,Pcc2 Power Factor,
Pcc2Qh,kvarh,Pcc2 Reactive Power Hours,
Pcc2S,kVA,Pcc2 Apparent Power,
Pcc2Sh,kVAh,Pcc2 Apparent Power Hours,
Pcc2U,V,Pcc2 Average Phase to Phase Voltage,
Pcc2U12,V,Pcc2 Phase 1 to 2 Voltage,
Pcc2U1n,V,Pcc2 Phase 1 to N Voltage,
Pcc2U23,V,Pcc2 Phase 2 to 3 Voltage,
Pcc2U2n,V,Pcc2 Phase 2 to N Voltage,
Pcc2U31,V,Pcc2 Phase 3 to 1 Voltage,
Pcc2U3n,V,Pcc2 Phase 3 to N Voltage,
Pcc2Un,V,Pcc2 Average Phase to Neutral Voltage,
Pcc3E,kWh,Pcc3 Energy,
Pcc3ExpE,kWh,Pcc3 Export Energy,
Pcc3ExpP,kW,Pcc3 Export Active Power,
Pcc3ExpQh,kvarh,Pcc3 Export Reactive Power Hours,
Pcc3ExpS,kVA,Pcc3 Export Apparent Power,
Pcc3ExpSh,kVAh,Pcc3 Export Apparent Power Hours,
Pcc3I2,A,Pcc3 Phase 2 Current,
Pcc3I3,A,Pcc3 Phase 3 Current,
Pcc3ImpE,kWh,Pcc3 Import Energy,
Pcc3ImpP,kW,Pcc3 Import Active Power,
Pcc3ImpQh,kvarh,Pcc3 Import Reactive Power Hours,
Pcc3ImpS,kVA,Pcc3 Import Apparent Power,
Pcc3ImpSh,kVAh,Pcc3 Import Apparent Power Hours,
Pcc3P,kW,Pcc3 Active Power,
Pcc3Pf,pf,Pcc3 Power Factor,
Pcc3Qh,kvarh,Pcc3 Reactive Power Hours,
Pcc3S,kVA,Pcc3 Apparent Power,
Pcc3Sh,kVAh,Pcc3 Apparent Power Hours,
Pcc3U,V,Pcc3 Average Phase to Phase Voltage,
Pcc3U12,V,Pcc3 Phase 1 to 2 Voltage,
Pcc3U1n,V,Pcc3 Phase 1 to N Voltage,
Pcc3U23,V,Pcc3 Phase 2 to 3 Voltage,
Pcc3U2n,V,Pcc3 Phase 2 to N Voltage,
Pcc3U31,V,Pcc3 Phase 3 to 1 Voltage,
Pcc3U3n,V,Pcc3 Phase 3 to N Voltage,
Pcc3Un,V,Pcc3 Average Phase to Neutral Voltage,
Pcc4E,kWh,Pcc4 Energy,
Pcc4ExpE,kWh,Pcc4 Export Energy,
Pcc4ExpP,kW,Pcc4 Export Active Power,
Pcc4ExpQh,kvarh,Pcc4 Export Reactive Power Hours,
Pcc4ExpS,kVA,Pcc4 Export Apparent Power,
Pcc4ExpSh,kVAh,Pcc4 Export Apparent Power Hours,
Pcc4I2,A,Pcc4 Phase 2 Current,
Pcc4I3,A,Pcc4 Phase 3 Current,
Pcc4ImpE,kWh,Pcc4 Import Energy,
Pcc4ImpP,kW,Pcc4 Import Active Power,
Pcc4ImpQh,kvarh,Pcc4 Import Reactive Power Hours,
Pcc4ImpS,kVA,Pcc4 Import Apparent Power,
Pcc4ImpSh,kVAh,Pcc4 Import Apparent Power Hours,
Pcc4P,kW,Pcc4 Active Power,
Pcc4Pf,pf,Pcc4 Power Factor,
Pcc4Qh,kvarh,Pcc4 Reactive Power Hours,
Pcc4S,kVA,Pcc4 Apparent Power,
Pcc4Sh,kVAh,Pcc4 Apparent Power Hours,
Pcc4U,V,Pcc4 Average Phase to Phase Voltage,
Pcc4U12,V,Pcc4 Phase 1 to 2 Voltage,
Pcc4U1n,V,Pcc4 Phase 1 to N Voltage,
Pcc4U23,V,Pcc4 Phase 2 to 3 Voltage,
Pcc4U2n,V,Pcc4 Phase 2 to N Voltage,
Pcc4U31,V,Pcc4 Phase 3 to 1 Voltage,
Pcc4U3n,V,Pcc4 Phase 3 to N Voltage,
Pcc4Un,V,Pcc4 Average Phase to Neutral Voltage,
PccE,kWh,Point of Common Coupling Energy,
PccExpE,kWh,Point of Common Coupling Export Energy,
PccExpP,kW,Point of Common Coupling Export Active Power,
PccExpQh,kvarh,Point of Common Coupling Export Reactive Power Hours,
PccExpS,kVA,Point of Common Coupling Export Apparent Power,
PccExpSh,kVAh,Point of Common Coupling Export Apparent Power Hours,
PccI2,A,Point of Common Coupling Phase 2 Current,
PccI3,A,Point of Common Coupling Phase 3 Current,
PccImpE,kWh,Point of Common Coupling Import Energy,
PccImpP,kW,Point of Common Coupling Import Active Power,
PccImpQh,kvarh,Point of Common Coupling Import Reactive Power Hours,
PccImpS,kVA,Point of Common Coupling Import Apparent Power,
PccImpSh,kVAh,Point of Common Coupling Import Apparent Power Hours,
PccP,kW,Point of Common Coupling Active Power,
PccPf,pf,Point of Common Coupling Power Factor,
PccQh,kvarh,Point of Common Coupling Reactive Power Hours,
PccS,kVA,Point of Common Coupling Apparent Power,
PccSh,kVAh,Point of Common Coupling Apparent Power Hours,
PccU,V,Point of Common Coupling Average Phase to Phase Voltage,
PccU12,V,Point of Common Coupling Phase 1 to 2 Voltage,
PccU1n,V,Point of Common Coupling Phase 1 to N Voltage,
PccU23,V,Point of Common Coupling Phase 2 to 3 Voltage,
PccU2n,V,Point of Common Coupling Phase 2 to N Voltage,
PccU31,V,Point of Common Coupling Phase 3 to 1 Voltage,
PccU3n,V,Point of Common Coupling Phase 3 to N Voltage,
PccUn,V,Point of Common Coupling Average Phase to Neutral Voltage,
Pv1AvailP,kW,Pv1 Available Active Power,
Pv1E,kWh,Pv1 Energy,
Pv1ExpE,kWh,Pv1 Export Energy,
Pv1ExpP,kW,Pv1 Export Active Power,
Pv1ExpQh,kvarh,Pv1 Export Reactive Power Hours,
Pv1ExpS,kVA,Pv1 Export Apparent Power,
Pv1ExpSh,kVAh,Pv1 Export Apparent Power Hours,
Pv1I2,A,Pv1 Phase 2 Current,
Pv1I3,A,Pv1 Phase 3 Current,
Pv1ImpE,kWh,Pv1 Import Energy,
Pv1ImpP,kW,Pv1 Import Active Power,
Pv1ImpQh,kvarh,Pv1 Import Reactive Power Hours,
Pv1ImpS,kVA,Pv1 Import Apparent Power,
Pv1ImpSh,kVAh,Pv1 Import Apparent Power Hours,
Pv1P,kW,Pv1 Active Power,
Pv1Pf,pf,Pv1 Power Factor,
Pv1Qh,kvarh,Pv1 Reactive Power Hours,
Pv1S,kVA,Pv1 Apparent Power,
Pv1SetP,kW,Pv1 Setpoint Active Power,
Pv1SetQ,Reactive Power,Pv1 Setpoint Reactive Power at nominated PCC,
Pv1Sh,kVAh,Pv1 Apparent Power Hours,
Pv1SpillP,kW,Pv1 Spill Active Power,
Pv1U,V,Pv1 Average Phase to Phase Voltage,
Pv1U12,V,Pv1 Phase 1 to 2 Voltage,
Pv1U1n,V,Pv1 Phase 1 to N Voltage,
Pv1U23,V,Pv1 Phase 2 to 3 Voltage,
Pv1U2n,V,Pv1 Phase 2 to N Voltage,
Pv1U31,V,Pv1 Phase 3 to 1 Voltage,
Pv1U3n,V,Pv1 Phase 3 to N Voltage,
Pv1Un,V,Pv1 Average Phase to Neutral Voltage,
Pv2AvailP,kW,Pv2 Available Active Power,
Pv2E,kWh,Pv2 Energy,
Pv2ExpE,kWh,Pv2 Export Energy,
Pv2ExpP,kW,Pv2 Export Active Power,
Pv2ExpQh,kvarh,Pv2 Export Reactive Power Hours,
Pv2ExpS,kVA,Pv2 Export Apparent Power,
Pv2ExpSh,kVAh,Pv2 Export Apparent Power Hours,
Pv2I2,A,Pv2 Phase 2 Current,
Pv2I3,A,Pv2 Phase 3 Current,
Pv2ImpE,kWh,Pv2 Import Energy,
Pv2ImpP,kW,Pv2 Import Active Power,
Pv2ImpQh,kvarh,Pv2 Import Reactive Power Hours,
Pv2ImpS,kVA,Pv2 Import Apparent Power,
Pv2ImpSh,kVAh,Pv2 Import Apparent Power Hours,
Pv2P,kW,Pv2 Active Power,
Pv2Pf,pf,Pv2 Power Factor,
Pv2Qh,kvarh,Pv2 Reactive Power Hours,
Pv2S,kVA,Pv2 Apparent Power,
Pv2SetP,kW,Pv2 Setpoint Active Power,
Pv2SetQ,Reactive Power,Pv2 Setpoint Reactive Power at nominated PCC,
Pv2Sh,kVAh,Pv2 Apparent Power Hours,
Pv2SpillP,kW,Pv2 Spill Active Power,
Pv2U,V,Pv2 Average Phase to Phase Voltage,
Pv2U12,V,Pv2 Phase 1 to 2 Voltage,
Pv2U1n,V,Pv2 Phase 1 to N Voltage,
Pv2U23,V,Pv2 Phase 2 to 3 Voltage,
Pv2U2n,V,Pv2 Phase 2 to N Voltage,
Pv2U31,V,Pv2 Phase 3 to 1 Voltage,
Pv2U3n,V,Pv2 Phase 3 to N Voltage,
Pv2Un,V,Pv2 Average Phase to Neutral Voltage,
Pv3AvailP,kW,Pv3 Available Active Power,
Pv3E,kWh,Pv3 Energy,
Pv3ExpE,kWh,Pv3 Export Energy,
Pv3ExpP,kW,Pv3 Export Active Power,
Pv3ExpQh,kvarh,Pv3 Export Reactive Power Hours,
Pv3ExpS,kVA,Pv3 Export Apparent Power,
Pv3ExpSh,kVAh,Pv3 Export Apparent Power Hours,
Pv3I2,A,Pv3 Phase 2 Current,
Pv3I3,A,Pv3 Phase 3 Current,
Pv3ImpE,kWh,Pv3 Import Energy,
Pv3ImpP,kW,Pv3 Import Active Power,
Pv3ImpQh,kvarh,Pv3 Import Reactive Power Hours,
Pv3ImpS,kVA,Pv3 Import Apparent Power,
Pv3ImpSh,kVAh,Pv3 Import Apparent Power Hours,
Pv3P,kW,Pv3 Active Power,
Pv3Pf,pf,Pv3 Power Factor,
Pv3Qh,kvarh,Pv3 Reactive Power Hours,
Pv3S,kVA,Pv3 Apparent Power,
Pv3SetP,kW,Pv3 Setpoint Active Power,
Pv3SetQ,Reactive Power,Pv3 Setpoint Reactive Power at nominated PCC,
Pv3Sh,kVAh,Pv3 Apparent Power Hours,
Pv3SpillP,kW,Pv3 Spill Active Power,
Pv3U,V,Pv3 Average Phase to Phase Voltage,
Pv3U12,V,Pv3 Phase 1 to 2 Voltage,
Pv3U1n,V,Pv3 Phase 1 to N Voltage,
Pv3U23,V,Pv3 Phase 2 to 3 Voltage,
Pv3U2n,V,Pv3 Phase 2 to N Voltage,
Pv3U31,V,Pv3 Phase 3 to 1 Voltage,
Pv3U3n,V,Pv3 Phase 3 to N Voltage,
Pv3Un,V,Pv3 Average Phase to Neutral Voltage,
Pv4AvailP,kW,Pv4 Available Active Power,
Pv4E,kWh,Pv4 Energy,
Pv4ExpE,kWh,Pv4 Export Energy,
Pv4ExpP,kW,Pv4 Export Active Power,
Pv4ExpQh,kvarh,Pv4 Export Reactive Power Hours,
Pv4ExpS,kVA,Pv4 Export Apparent Power,
Pv4ExpSh,kVAh,Pv4 Export Apparent Power Hours,
Pv4I2,A,Pv4 Phase 2 Current,
Pv4I3,A,Pv4 Phase 3 Current,
Pv4ImpE,kWh,Pv4 Import Energy,
Pv4ImpP,kW,Pv4 Import Active Power,
Pv4ImpQh,kvarh,Pv4 Import Reactive Power Hours,
Pv4ImpS,kVA,Pv4 Import Apparent Power,
Pv4ImpSh,kVAh,Pv4 Import Apparent Power Hours,
Pv4P,kW,Pv4 Active Power,
Pv4Pf,pf,Pv4 Power Factor,
Pv4Qh,kvarh,Pv4 Reactive Power Hours,
Pv4S,kVA,Pv4 Apparent Power,
Pv4SetP,kW,Pv4 Setpoint Active Power,
Pv4SetQ,Reactive Power,Pv4 Setpoint Reactive Power at nominated PCC,
Pv4Sh,kVAh,Pv4 Apparent Power Hours,
Pv4SpillP,kW,Pv4 Spill Active Power,
Pv4U,V,Pv4 Average Phase to Phase Voltage,
Pv4U12,V,Pv4 Phase 1 to 2 Voltage,
Pv4U1n,V,Pv4 Phase 1 to N Voltage,
Pv4U23,V,Pv4 Phase 2 to 3 Voltage,
Pv4U2n,V,Pv4 Phase 2 to N Voltage,
Pv4U31,V,Pv4 Phase 3 to 1 Voltage,
Pv4U3n,V,Pv4 Phase 3 to N Voltage,
Pv4Un,V,Pv4 Average Phase to Neutral Voltage,
PvAvailP,kW,Photovoltaic Generator Available Active Power,
PvE,kWh,Photovoltaic Generator Energy,
PvExpE,kWh,Photovoltaic Generator Export Energy,
PvExpP,kW,Photovoltaic Generator Export Active Power,
PvExpQh,kvarh,Photovoltaic Generator Export Reactive Power Hours,
PvExpS,kVA,Photovoltaic Generator Export Apparent Power,
PvExpSh,kVAh,Photovoltaic Generator Export Apparent Power Hours,
PvI2,A,Photovoltaic Generator Phase 2 Current,
PvI3,A,Photovoltaic Generator Phase 3 Current,
PvImpE,kWh,Photovoltaic Generator Import Energy,
PvImpP,kW,Photovoltaic Generator Import Active Power,
PvImpQh,kvarh,Photovoltaic Generator Import Reactive Power Hours,
PvImpS,kVA,Photovoltaic Generator Import Apparent Power,
PvImpSh,kVAh,Photovoltaic Generator Import Apparent Power Hours,
PvP,kW,Photovoltaic Generator Active Power,
PvPf,pf,Photovoltaic Generator Power Factor,
PvQh,kvarh,Photovoltaic Generator Reactive Power Hours,
PvS,kVA,Photovoltaic Generator Apparent Power,
PvSetP,kW,Photovoltaic Generator Setpoint Active Power,
PvSetQ,Reactive Power,Photovoltaic Generator Setpoint Reactive Power at nominated PCC,
PvSh,kVAh,Photovoltaic Generator Apparent Power Hours,
PvSpillP,kW,Photovoltaic Generator Spill Active Power,
PvU,V,Photovoltaic Generator Average Phase to Phase Voltage,
PvU12,V,Photovoltaic Generator Phase 1 to 2 Voltage,
PvU1n,V,Photovoltaic Generator Phase 1 to N Voltage,
PvU23,V,Photovoltaic Generator Phase 2 to 3 Voltage,
PvU2n,V,Photovoltaic Generator Phase 2 to N Voltage,
PvU31,V,Photovoltaic Generator Phase 3 to 1 Voltage,
PvU3n,V,Photovoltaic Generator Phase 3 to N Voltage,
PvUn,V,Photovoltaic Generator Average Phase to Neutral Voltage,
SysE,kWh,System (Total) Energy,
SysExpE,kWh,System (Total) Export Energy,
SysExpP,kW,System (Total) Export Active Power,
SysExpQh,kvarh,System (Total) Export Reactive Power Hours,
SysExpS,kVA,System (Total) Export Apparent Power,
SysExpSh,kVAh,System (Total) Export Apparent Power Hours,
SysI2,A,System (Total) Phase 2 Current,
SysI3,A,System (Total) Phase 3 Current,
SysImpE,kWh,System (Total) Import Energy,
SysImpP,kW,System (Total) Import Active Power,
SysImpQh,kvarh,System (Total) Import Reactive Power Hours,
SysImpS,kVA,System (Total) Import Apparent Power,
SysImpSh,kVAh,System (Total) Import Apparent Power Hours,
SysP,kW,System (Total) Active Power,
SysPf,pf,System (Total) Power Factor,
SysQh,kvarh,System (Total) Reactive Power Hours,
SysS,kVA,System (Total) Apparent Power,
SysSh,kVAh,System (Total) Apparent Power Hours,
SysU,V,System (Total) Average Phase to Phase Voltage,
SysU12,V,System (Total) Phase 1 to 2 Voltage,
SysU1n,V,System (Total) Phase 1 to N Voltage,
SysU23,V,System (Total) Phase 2 to 3 Voltage,
SysU2n,V,System (Total) Phase 2 to N Voltage,
SysU31,V,System (Total) Phase 3 to 1 Voltage,
SysU3n,V,System (Total) Phase 3 to N Voltage,
SysUn,V,System (Total) Average Phase to Neutral Voltage,
Wtg1E,kWh,Wtg1 Energy,
Wtg1ExpE,kWh,Wtg1 Export Energy,
Wtg1ExpP,kW,Wtg1 Export Active Power,
Wtg1ExpQh,kvarh,Wtg1 Export Reactive Power Hours,
Wtg1ExpS,kVA,Wtg1 Export Apparent Power,
Wtg1ExpSh,kVAh,Wtg1 Export Apparent Power Hours,
Wtg1I2,A,Wtg1 Phase 2 Current,
Wtg1I3,A,Wtg1 Phase 3 Current,
Wtg1ImpE,kWh,Wtg1 Import Energy,
Wtg1ImpP,kW,Wtg1 Import Active Power,
Wtg1ImpQh,kvarh,Wtg1 Import Reactive Power Hours,
Wtg1ImpS,kVA,Wtg1 Import Apparent Power,
Wtg1ImpSh,kVAh,Wtg1 Import Apparent Power Hours,
Wtg1P,kW,Wtg1 Active Power,
Wtg1Pf,pf,Wtg1 Power Factor,
Wtg1Qh,kvarh,Wtg1 Reactive Power Hours,
Wtg1S,kVA,Wtg1 Apparent Power,
Wtg1Sh,kVAh,Wtg1 Apparent Power Hours,
Wtg1U,V,Wtg1 Average Phase to Phase Voltage,
Wtg1U12,V,Wtg1 Phase 1 to 2 Voltage,
Wtg1U1n,V,Wtg1 Phase 1 to N Voltage,
Wtg1U23,V,Wtg1 Phase 2 to 3 Voltage,
Wtg1U2n,V,Wtg1 Phase 2 to N Voltage,
Wtg1U31,V,Wtg1 Phase 3 to 1 Voltage,
Wtg1U3n,V,Wtg1 Phase 3 to N Voltage,
Wtg1Un,V,Wtg1 Average Phase to Neutral Voltage,
Wtg2E,kWh,Wtg2 Energy,
Wtg2ExpE,kWh,Wtg2 Export Energy,
Wtg2ExpP,kW,Wtg2 Export Active Power,
Wtg2ExpQh,kvarh,Wtg2 Export Reactive Power Hours,
Wtg2ExpS,kVA,Wtg2 Export Apparent Power,
Wtg2ExpSh,kVAh,Wtg2 Export Apparent Power Hours,
Wtg2I2,A,Wtg2 Phase 2 Current,
Wtg2I3,A,Wtg2 Phase 3 Current,
Wtg2ImpE,kWh,Wtg2 Import Energy,
Wtg2ImpP,kW,Wtg2 Import Active Power,
Wtg2ImpQh,kvarh,Wtg2 Import Reactive Power Hours,
Wtg2ImpS,kVA,Wtg2 Import Apparent Power,
Wtg2ImpSh,kVAh,Wtg2 Import Apparent Power Hours,
Wtg2P,kW,Wtg2 Active Power,
Wtg2Pf,pf,Wtg2 Power Factor,
Wtg2Qh,kvarh,Wtg2 Reactive Power Hours,
Wtg2S,kVA,Wtg2 Apparent Power,
Wtg2Sh,kVAh,Wtg2 Apparent Power Hours,
Wtg2U,V,Wtg2 Average Phase to Phase Voltage,
Wtg2U12,V,Wtg2 Phase 1 to 2 Voltage,
Wtg2U1n,V,Wtg2 Phase 1 to N Voltage,
Wtg2U23,V,Wtg2 Phase 2 to 3 Voltage,
Wtg2U2n,V,Wtg2 Phase 2 to N Voltage,
Wtg2U31,V,Wtg2 Phase 3 to 1 Voltage,
Wtg2U3n,V,Wtg2 Phase 3 to N Voltage,
Wtg2Un,V,Wtg2 Average Phase to Neutral Voltage,
Wtg3E,kWh,Wtg3 Energy,
Wtg3ExpE,kWh,Wtg3 Export Energy,
Wtg3ExpP,kW,Wtg3 Export Active Power,
Wtg3ExpQh,kvarh,Wtg3 Export Reactive Power Hours,
Wtg3ExpS,kVA,Wtg3 Export Apparent Power,
Wtg3ExpSh,kVAh,Wtg3 Export Apparent Power Hours,
Wtg3I2,A,Wtg3 Phase 2 Current,
Wtg3I3,A,Wtg3 Phase 3 Current,
Wtg3ImpE,kWh,Wtg3 Import Energy,
Wtg3ImpP,kW,Wtg3 Import Active Power,
Wtg3ImpQh,kvarh,Wtg3 Import Reactive Power Hours,
Wtg3ImpS,kVA,Wtg3 Import Apparent Power,
Wtg3ImpSh,kVAh,Wtg3 Import Apparent Power Hours,
Wtg3P,kW,Wtg3 Active Power,
Wtg3Pf,pf,Wtg3 Power Factor,
Wtg3Qh,kvarh,Wtg3 Reactive Power Hours,
Wtg3S,kVA,Wtg3 Apparent Power,
Wtg3Sh,kVAh,Wtg3 Apparent Power Hours,
Wtg3U,V,Wtg3 Average Phase to Phase Voltage,
Wtg3U12,V,Wtg3 Phase 1 to 2 Voltage,
Wtg3U1n,V,Wtg3 Phase 1 to N Voltage,
Wtg3U23,V,Wtg3 Phase 2 to 3 Voltage,
Wtg3U2n,V,Wtg3 Phase 2 to N Voltage,
Wtg3U31,V,Wtg3 Phase 3 to 1 Voltage,
Wtg3U3n,V,Wtg3 Phase 3 to N Voltage,
Wtg3Un,V,Wtg3 Average Phase to Neutral Voltage,
Wtg4E,kWh,Wtg4 Energy,
Wtg4ExpE,kWh,Wtg4 Export Energy,
Wtg4ExpP,kW,Wtg4 Export Active Power,
Wtg4ExpQh,kvarh,Wtg4 Export Reactive Power Hours,
Wtg4ExpS,kVA,Wtg4 Export Apparent Power,
Wtg4ExpSh,kVAh,Wtg4 Export Apparent Power Hours,
Wtg4I2,A,Wtg4 Phase 2 Current,
Wtg4I3,A,Wtg4 Phase 3 Current,
Wtg4ImpE,kWh,Wtg4 Import Energy,
Wtg4ImpP,kW,Wtg4 Import Active Power,
Wtg4ImpQh,kvarh,Wtg4 Import Reactive Power Hours,
Wtg4ImpS,kVA,Wtg4 Import Apparent Power,
Wtg4ImpSh,kVAh,Wtg4 Import Apparent Power Hours,
Wtg4P,kW,Wtg4 Active Power,
Wtg4Pf,pf,Wtg4 Power Factor,
Wtg4Qh,kvarh,Wtg4 Reactive Power Hours,
Wtg4S,kVA,Wtg4 Apparent Power,
Wtg4Sh,kVAh,Wtg4 Apparent Power Hours,
Wtg4U,V,Wtg4 Average Phase to Phase Voltage,
Wtg4U12,V,Wtg4 Phase 1 to 2 Voltage,
Wtg4U1n,V,Wtg4 Phase 1 to N Voltage,
Wtg4U23,V,Wtg4 Phase 2 to 3 Voltage,
Wtg4U2n,V,Wtg4 Phase 2 to N Voltage,
Wtg4U31,V,Wtg4 Phase 3 to 1 Voltage,
Wtg4U3n,V,Wtg4 Phase 3 to N Voltage,
Wtg4Un,V,Wtg4 Average Phase to Neutral Voltage,
WtgE,kWh,Wind Turbine Generator Energy,
WtgExpE,kWh,Wind Turbine Generator Export Energy,
WtgExpP,kW,Wind Turbine Generator Export Active Power,
WtgExpQh,kvarh,Wind Turbine Generator Export Reactive Power Hours,
WtgExpS,kVA,Wind Turbine Generator Export Apparent Power,
WtgExpSh,kVAh,Wind Turbine Generator Export Apparent Power Hours,
WtgI2,A,Wind Turbine Generator Phase 2 Current,
WtgI3,A,Wind Turbine Generator Phase 3 Current,
WtgImpE,kWh,Wind Turbine Generator Import Energy,
WtgImpP,kW,Wind Turbine Generator Import Active Power,
WtgImpQh,kvarh,Wind Turbine Generator Import Reactive Power Hours,
WtgImpS,kVA,Wind Turbine Generator Import Apparent Power,
WtgImpSh,kVAh,Wind Turbine Generator Import Apparent Power Hours,
WtgP,kW,Wind Turbine Generator Active Power,
WtgPf,pf,Wind Turbine Generator Power Factor,
WtgQh,kvarh,Wind Turbine Generator Reactive Power Hours,
WtgS,kVA,Wind Turbine Generator Apparent Power,
WtgSh,kVAh,Wind Turbine Generator Apparent Power Hours,
WtgU,V,Wind Turbine Generator Average Phase to Phase Voltage,
WtgU12,V,Wind Turbine Generator Phase 1 to 2 Voltage,
WtgU1n,V,Wind Turbine Generator Phase 1 to N Voltage,
WtgU23,V,Wind Turbine Generator Phase 2 to 3 Voltage,
WtgU2n,V,Wind Turbine Generator Phase 2 to N Voltage,
WtgU31,V,Wind Turbine Generator Phase 3 to 1 Voltage,
WtgU3n,V,Wind Turbine Generator Phase 3 to N Voltage,
WtgUn,V,Wind Turbine Generator Average Phase to Neutral Voltage,
